time_since_start_of_packet_ms gap_ms max_gap_ms byte
24.566 0.014 2.546 09
24.580 0.014 2.546 8B
24.599 0.019 2.546 42
24.614 0.015 2.546 01
24.628 0.015 2.546 D3
24.642 0.014 2.546 CB
24.656 0.014 2.546 01
24.670 0.015 2.546 C0
24.684 0.014 2.546 1A
24.698 0.014 2.546 52
24.712 0.014 2.546 41
24.726 0.014 2.546 83
24.740 0.014 2.546 09
24.755 0.015 2.546 8B
24.769 0.014 2.546 42
24.784 0.015 2.546 01
24.799 0.014 2.546 D3
24.813 0.014 2.546 8B
24.827 0.014 2.546 01
24.841 0.014 2.546 C0
24.855 0.014 2.546 1A
24.869 0.015 2.546 52
24.884 0.015 2.546 41
24.898 0.014 2.546 43
24.912 0.014 2.546 09
24.926 0.014 2.546 8B
24.940 0.014 2.546 42
24.954 0.014 2.546 01
24.969 0.015 2.546 D3
24.984 0.015 2.546 4B
24.999 0.014 2.546 01
25.014 0.015 2.546 C0
25.027 0.013 2.546 1A
25.041 0.014 2.546 52
25.056 0.015 2.546 41
25.070 0.014 2.546 03
25.084 0.014 2.546 09
25.098 0.014 2.546 8B
25.277 0.179 2.546 42
25.301 0.024 2.546 01
25.316 0.015 2.546 D3
25.332 0.015 2.546 0B
25.348 0.017 2.546 01
25.364 0.016 2.546 C0
25.378 0.014 2.546 1A
25.393 0.014 2.546 52
25.408 0.015 2.546 41
25.422 0.015 2.546 C3
25.438 0.016 2.546 08
25.452 0.014 2.546 8B
25.466 0.015 2.546 42
25.480 0.014 2.546 01
25.495 0.014 2.546 D3
25.509 0.014 2.546 CB
25.523 0.015 2.546 00
25.540 0.016 2.546 C0
25.556 0.017 2.546 1A
25.571 0.015 2.546 52
25.586 0.015 2.546 41
25.601 0.016 2.546 83
25.615 0.014 2.546 08
25.630 0.014 2.546 8B
25.644 0.014 2.546 42
25.659 0.015 2.546 01
25.676 0.017 2.546 D3
25.692 0.016 2.546 8B
25.706 0.014 2.546 00
25.722 0.016 2.546 C0
25.736 0.014 2.546 1A
25.750 0.014 2.546 52
25.764 0.014 2.546 41
25.779 0.015 2.546 43
25.794 0.016 2.546 08
25.810 0.016 2.546 8B
25.824 0.014 2.546 42
25.838 0.014 2.546 01
25.853 0.015 2.546 D3
25.867 0.014 2.546 4B
25.881 0.014 2.546 00
25.896 0.015 2.546 C0
25.912 0.017 2.546 1A
25.928 0.016 2.546 52
25.942 0.014 2.546 41
25.957 0.015 2.546 41
25.972 0.015 2.546 1A
25.986 0.014 2.546 00
26.000 0.014 2.546 D2
26.015 0.015 2.546 01
26.031 0.016 2.546 46
26.046 0.016 2.546 52
26.062 0.016 2.546 41
26.076 0.014 2.546 10
26.092 0.015 2.546 46
26.106 0.014 2.546 70
26.120 0.014 2.546 47
26.134 0.014 2.546 FF
26.148 0.014 2.546 E7
26.164 0.016 2.546 01
26.180 0.016 2.546 B5
26.195 0.014 2.546 00
26.210 0.016 2.546 20
26.225 0.014 2.546 00
26.239 0.014 2.546 F0
26.271 0.033 2.546 F0
26.287 0.016 2.546 F8
26.303 0.016 2.546 02
26.318 0.014 2.546 BD
26.333 0.016 2.546 C0
26.347 0.014 2.546 46
26.361 0.014 2.546 00
26.375 0.014 2.546 29
26.390 0.015 2.546 F7
26.405 0.016 2.546 D0
26.421 0.016 2.546 76
26.435 0.014 2.546 E7
26.450 0.015 2.546 70
26.466 0.016 2.546 47
26.480 0.014 2.546 03
26.494 0.014 2.546 46
26.509 0.014 2.546 0B
26.523 0.014 2.546 43
26.538 0.016 2.546 7F
26.554 0.016 2.546 D4
26.568 0.014 2.546 00
26.583 0.015 2.546 22
26.600 0.016 2.546 43
26.615 0.015 2.546 08
26.629 0.014 2.546 8B
26.643 0.014 2.546 42
26.658 0.015 2.546 74
26.674 0.016 2.546 D3
26.689 0.015 2.546 03
26.703 0.015 2.546 09
26.719 0.015 2.546 8B
26.733 0.014 2.546 42
26.747 0.014 2.546 5F
26.761 0.014 2.546 D3
26.777 0.016 2.546 03
26.793 0.017 2.546 0A
26.808 0.014 2.546 8B
26.822 0.014 2.546 42
